master_product_code,product_title,image_url,brand,vendor_name,vendor_tier,region,category,master_category
MPC-100001,almarai full fat milk 1L,https://images.deliveryhero.io/image/dh/almarai-milk-1l.jpg,Almarai,Al-Maha Mini Market,lite,ae,packaged_food_beverages,
MPC-100002,PEPSI CAN 330 ML,https://images.deliveryhero.io/image/dh/pepsi-330ml.jpg,Pepsi,Corner Mart Riyadh,lite,sa,packaged_food_beverages,
MPC-100003,tide liquid 3l orignal,https://images.deliveryhero.io/image/dh/tide-3l.jpg,Tide,Quick Stop Lahore,lite,pk,packaged_non_food,
MPC-100004,lays salt chips 170g,https://images.deliveryhero.io/image/dh/lays-salt-170g.jpg,Lay's,Baqala Express,lite,ae,packaged_food_beverages,
MPC-100005,panadol extra 500mg tabs 24,https://images.deliveryhero.io/image/dh/panadol-500mg.jpg,Panadol,Corner Mart Riyadh,lite,sa,pharmaceuticals,
MPC-100006,samsung charger usbc 25w,https://images.deliveryhero.io/image/dh/samsung-charger-25w.jpg,Samsung,Quick Stop Lahore,lite,pk,electronics,
MPC-100007,almarai laban full fat 1L,https://images.deliveryhero.io/image/dh/almarai-laban-1l.jpg,Almarai,Baqala Express,lite,ae,packaged_food_beverages,
MPC-100008,aquafina water 500ml,https://images.deliveryhero.io/image/dh/aquafina-500ml.jpg,Aquafina,Corner Mart Riyadh,lite,sa,packaged_food_beverages,
MPC-100009,downy fabric softner 1l blue,https://images.deliveryhero.io/image/dh/downy-1l.jpg,Downy,Quick Stop Lahore,lite,pk,packaged_non_food,
MPC-100010,lipton yellow label tea 100bags,https://images.deliveryhero.io/image/dh/lipton-100bags.jpg,Lipton,Baqala Express,lite,ae,packaged_food_beverages,
MPC-100011,puck cream cheese 240g,https://images.deliveryhero.io/image/dh/puck-240g.jpg,Puck,Corner Mart Riyadh,lite,sa,packaged_food_beverages,
MPC-100012,nescafe classic 200g jar,https://images.deliveryhero.io/image/dh/nescafe-200g.jpg,Nescafe,Quick Stop Lahore,lite,pk,packaged_food_beverages,
MPC-100013,DETTOL SOAP BAR 120G,https://images.deliveryhero.io/image/dh/dettol-soap-120g.jpg,Dettol,Baqala Express,lite,ae,packaged_non_food,
MPC-100014,al kabeer chicken nuggets 400g,https://images.deliveryhero.io/image/dh/alkabeer-nuggets.jpg,Al Kabeer,Corner Mart Riyadh,lite,sa,packaged_food_beverages,
MPC-100015,vimto cordial 710ml,https://images.deliveryhero.io/image/dh/vimto-710ml.jpg,Vimto,Baqala Express,lite,ae,packaged_food_beverages,
MPC-100016,indomie instant noodls chicken 5x75g,https://images.deliveryhero.io/image/dh/indomie-5x75g.jpg,Indomie,Quick Stop Lahore,lite,pk,packaged_food_beverages,
MPC-100017,rani juice mango 240ml,https://images.deliveryhero.io/image/dh/rani-mango-240ml.jpg,Rani,Baqala Express,lite,ae,packaged_food_beverages,
MPC-100018,nutella hazelnut spred 350g,https://images.deliveryhero.io/image/dh/nutella-350g.jpg,Nutella,Corner Mart Riyadh,lite,sa,packaged_food_beverages,
MPC-200001,almarai full fat milk 2L,https://images.deliveryhero.io/image/dh/almarai-milk-2l.jpg,Almarai,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200002,coca cola zero sugar 330ml can,https://images.deliveryhero.io/image/dh/coke-zero-330ml.jpg,Coca-Cola,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200003,fairy dish wash lemon 1L,https://images.deliveryhero.io/image/dh/fairy-lemon-1l.jpg,Fairy,GrocerPro SA,pro,sa,packaged_non_food,
MPC-200004,doritos nacho cheese tortilla chips 180g,https://images.deliveryhero.io/image/dh/doritos-180g.jpg,Doritos,FreshMart Regional,pro,ae,packaged_food_beverages,
